COMMENT: Large PR file, 100,000 trades
1 BUY T14 S23 $41 #15
1 BUY T1 S4 $31 #23
1 BUY T10 S10 $24 #28
1 BUY T6 S8 $50 #9
1 BUY T11 S13 $78 #23
1 SELL T0 S12 $77 #2
1 BUY T6 S14 $20 #8
1 SELL T13 S2 $52 #25
1 BUY T10 S20 $28 #30
1 SELL T16 S16 $99 #15
1 SELL T14 S20 $95 #2
1 BUY T11 S7 $79 #41
1 BUY T18 S4 $100 #13
1 SELL T18 S7 $41 #31
1 BUY T2 S21 $31 #7
1 SELL T7 S10 $20 #17
1 BUY T0 S14 $21 #18
1 BUY T4 S14 $19 #2
1 SELL T3 S5 $79 #30
1 BUY T19 S18 $82 #49
1 SELL T1 S21 $49 #12
1 SELL T17 S20 $42 #39
1 SELL T1 S15 $80 #16
1 BUY T19 S7 $98 #23
1 BUY T9 S7 $9 #30
1 BUY T1 S2 $5 #30
1 SELL T15 S21 $8 #25
1 BUY T15 S1 $62 #4
1 BUY T10 S23 $1 #36
1 SELL T3 S9 $96 #41
1 BUY T17 S1 $40 #12
1 BUY T2 S20 $89 #7
1 SELL T14 S23 $39 #34
1 SELL T14 S7 $19 #48
1 BUY T12 S8 $89 #28
1 SELL T12 S9 $73 #11
1 BUY T8 S2 $84 #38
1 BUY T15 S8 $29 #18
1 BUY T12 S21 $11 #18
1 SELL T2 S15 $73 #37
1 BUY T8 S9 $25 #1
1 SELL T2 S4 $12 #1
1 BUY T3 S20 $20 #19
1 SELL T4 S24 $79 #28
1 BUY T0 S5 $72 #32
1 BUY T6 S17 $15 #49
1 SELL T13 S11 $88 #38
1 SELL T16 S5 $55 #13
1 BUY T10 S17 $80 #27
1 SELL T10 S21 $5 #37
1 SELL T18 S14 $12 #6
1 SELL T1 S10 $12 #19
1 SELL T12 S10 $100 #23
1 BUY T10 S9 $77 #2
1 BUY T2 S10 $89 #49
1 BUY T17 S23 $11 #6
1 BUY T9 S24 $86 #34
1 BUY T0 S0 $95 #42
1 SELL T7 S9 $78 #42
1 SELL T15 S20 $2 #25
1 SELL T5 S10 $21 #44
1 BUY T1 S1 $39 #5
1 BUY T0 S3 $66 #48
2 SELL T10 S13 $90 #45
2 BUY T8 S17 $22 #41
2 BUY T9 S11 $53 #17
2 BUY T1 S3 $28 #24
2 BUY T12 S5 $72 #20
2 SELL T9 S7 $68 #39
2 SELL T8 S23 $36 #23
2 SELL T3 S19 $73 #18
2 SELL T5 S0 $87 #17
2 BUY T18 S23 $74 #15
2 SELL T5 S19 $28 #25
2 SELL T15 S23 $38 #29
2 BUY T10 S9 $48 #3
2 SELL T5 S20 $85 #38
2 BUY T1 S14 $60 #39
2 BUY T2 S18 $95 #47
2 BUY T10 S9 $93 #48
2 SELL T18 S21 $56 #20
2 BUY T4 S19 $68 #31
2 BUY T12 S17 $100 #4
2 BUY T14 S4 $35 #45
2 BUY T2 S1 $14 #26
2 BUY T12 S4 $8 #9
2 BUY T5 S7 $56 #31
2 SELL T15 S5 $88 #41
2 BUY T8 S6 $74 #20
2 SELL T10 S17 $20 #6
2 SELL T8 S18 $4 #32
2 BUY T0 S11 $17 #17
2 SELL T0 S6 $45 #28
2 SELL T7 S24 $59 #12
2 SELL T0 S4 $23 #41
2 BUY T2 S16 $18 #28
2 BUY T16 S4 $15 #49
3 BUY T11 S21 $11 #13
3 BUY T18 S15 $66 #26
3 SELL T8 S23 $37 #41
3 BUY T4 S24 $77 #12
3 BUY T18 S7 $45 #17
3 SELL T6 S17 $99 #45
3 SELL T18 S11 $8 #13
3 BUY T14 S15 $50 #48
3 BUY T9 S12 $56 #32
3 BUY T18 S21 $27 #48
3 BUY T4 S1 $6 #12
3 BUY T0 S5 $39 #28
3 BUY T2 S4 $90 #46
3 BUY T9 S17 $3 #32
3 BUY T19 S3 $97 #37
3 SELL T15 S8 $9 #45
3 BUY T13 S22 $24 #4
3 BUY T5 S22 $74 #47
3 SELL T0 S22 $62 #19
3 SELL T14 S17 $96 #4
3 BUY T0 S14 $71 #48
3 SELL T3 S13 $82 #22
3 BUY T6 S7 $21 #7
3 SELL T10 S11 $83 #17
3 SELL T1 S24 $91 #4
3 BUY T16 S3 $68 #10
3 SELL T4 S11 $94 #42
3 BUY T5 S20 $89 #40
3 SELL T4 S22 $17 #47
3 BUY T3 S15 $31 #3
3 BUY T19 S23 $34 #20
3 SELL T9 S17 $41 #24
3 SELL T14 S22 $27 #47
3 BUY T3 S18 $28 #35
3 SELL T9 S16 $14 #30
3 SELL T10 S18 $57 #13
3 SELL T9 S4 $38 #7
3 BUY T10 S21 $52 #29
3 BUY T9 S17 $18 #10
3 SELL T0 S14 $45 #1
3 BUY T9 S24 $83 #1
3 SELL T11 S3 $93 #14
4 BUY T6 S14 $20 #10
4 BUY T9 S3 $90 #22
4 SELL T5 S23 $90 #12
4 BUY T5 S3 $61 #49
4 SELL T10 S9 $71 #33
4 BUY T12 S22 $92 #28
4 SELL T15 S12 $32 #25
4 BUY T10 S5 $2 #38
4 BUY T13 S20 $24 #33
4 BUY T15 S11 $65 #24
4 SELL T6 S23 $89 #48
4 SELL T15 S12 $69 #34
4 SELL T13 S24 $28 #20
4 SELL T16 S20 $10 #34
4 BUY T0 S6 $61 #9
4 BUY T9 S13 $91 #17
4 BUY T4 S21 $94 #15
4 BUY T7 S24 $92 #39
4 BUY T6 S1 $62 #50
4 SELL T16 S22 $41 #38
4 BUY T10 S14 $75 #32
4 BUY T11 S3 $88 #35
4 SELL T4 S6 $10 #34
4 SELL T16 S6 $41 #10
4 SELL T16 S8 $89 #14
4 SELL T11 S5 $42 #10
4 SELL T4 S24 $59 #30
4 BUY T17 S19 $17 #27
4 BUY T7 S8 $8 #41
4 SELL T0 S7 $34 #44
4 BUY T6 S24 $66 #4
4 BUY T19 S6 $83 #42
4 BUY T15 S13 $63 #34
4 SELL T17 S11 $97 #46
4 SELL T3 S24 $1 #47
4 BUY T19 S19 $68 #4
4 BUY T13 S3 $94 #33
4 SELL T4 S19 $16 #11
4 BUY T16 S1 $23 #38
4 SELL T9 S17 $6 #50
4 BUY T8 S9 $76 #31
4 BUY T7 S21 $63 #29
4 SELL T0 S22 $6 #34
4 SELL T7 S24 $25 #45
4 BUY T13 S2 $89 #5
4 BUY T1 S16 $36 #17
4 BUY T4 S21 $60 #32
4 BUY T13 S19 $59 #42
4 BUY T15 S0 $43 #50
4 BUY T6 S6 $47 #15
4 BUY T7 S20 $4 #5
4 BUY T2 S20 $96 #28
4 SELL T0 S7 $42 #2
4 SELL T14 S6 $100 #20
4 SELL T16 S3 $74 #50
5 BUY T11 S21 $52 #10
5 SELL T6 S15 $58 #50
5 BUY T6 S22 $32 #44
5 SELL T17 S10 $82 #24
5 BUY T0 S0 $19 #13
5 BUY T4 S8 $95 #4
5 SELL T11 S17 $55 #48
5 SELL T2 S24 $14 #26
5 SELL T2 S22 $58 #37
5 BUY T7 S4 $98 #25
5 SELL T10 S14 $80 #26
5 BUY T1 S23 $74 #30
5 SELL T1 S23 $90 #38
5 BUY T15 S22 $92 #21
5 SELL T8 S17 $40 #17
5 SELL T7 S12 $91 #31
5 BUY T17 S13 $66 #25
5 BUY T8 S1 $76 #19
5 BUY T0 S6 $39 #19
5 BUY T8 S15 $84 #22
5 BUY T12 S3 $50 #14
5 BUY T7 S13 $37 #47
5 BUY T19 S20 $3 #41
5 BUY T6 S2 $46 #24
5 BUY T14 S15 $60 #47
5 BUY T0 S12 $56 #34
5 SELL T12 S21 $63 #19
5 BUY T16 S4 $59 #35
5 SELL T10 S17 $42 #3
5 BUY T9 S19 $55 #27
5 SELL T0 S7 $48 #11
5 BUY T1 S18 $58 #32
5 SELL T7 S2 $3 #40
5 BUY T4 S24 $5 #46
5 BUY T2 S16 $44 #21
5 SELL T0 S23 $19 #38
5 BUY T7 S19 $37 #46
5 SELL T14 S4 $98 #28
5 SELL T14 S8 $90 #13
5 BUY T6 S9 $61 #39
5 BUY T17 S19 $56 #8
5 BUY T1 S0 $43 #30
5 BUY T13 S18 $83 #5
5 SELL T15 S11 $50 #3
5 BUY T17 S11 $63 #39
5 BUY T4 S0 $61 #35
6 SELL T2 S6 $38 #35
6 SELL T3 S3 $99 #30
6 SELL T4 S6 $51 #4
6 SELL T0 S17 $30 #34
6 BUY T18 S8 $1 #3
6 SELL T15 S17 $21 #33
6 SELL T0 S21 $33 #9
6 BUY T13 S20 $35 #38
6 BUY T0 S5 $45 #41
6 BUY T18 S7 $92 #16
6 BUY T16 S13 $59 #40
6 SELL T17 S8 $58 #15
6 BUY T15 S15 $78 #36
6 SELL T18 S9 $61 #10
6 SELL T7 S11 $2 #46
6 BUY T17 S13 $14 #15
6 SELL T16 S0 $60 #8
6 BUY T16 S16 $90 #24
6 BUY T6 S4 $8 #17
6 BUY T2 S18 $57 #26
6 BUY T14 S8 $15 #9
6 BUY T6 S17 $42 #5
6 SELL T11 S18 $70 #24
6 BUY T7 S24 $36 #35
6 BUY T18 S9 $36 #44
6 SELL T14 S11 $93 #21
6 BUY T7 S16 $59 #33
6 BUY T8 S8 $16 #9
6 SELL T15 S24 $60 #47
6 SELL T13 S17 $67 #39
6 SELL T5 S16 $96 #16
6 BUY T12 S11 $46 #33
6 BUY T10 S6 $18 #39
6 SELL T8 S0 $14 #32
6 BUY T7 S14 $75 #5
6 SELL T14 S19 $69 #9
6 SELL T19 S24 $56 #9
6 SELL T13 S6 $51 #33
6 BUY T19 S23 $17 #39
6 SELL T7 S3 $2 #11
6 SELL T0 S3 $9 #23
6 SELL T17 S5 $98 #16
6 SELL T15 S13 $20 #48
6 SELL T3 S8 $24 #42
6 SELL T0 S21 $44 #30
6 SELL T0 S0 $59 #41
6 BUY T0 S21 $78 #30
6 BUY T10 S3 $97 #30
6 SELL T1 S20 $18 #44
6 BUY T1 S11 $94 #16
6 SELL T19 S21 $63 #26
6 SELL T11 S4 $73 #45
6 BUY T6 S7 $95 #13
6 SELL T14 S6 $78 #28
6 SELL T3 S13 $34 #40
6 SELL T10 S6 $98 #18
6 BUY T17 S7 $45 #34
6 BUY T18 S1 $49 #7
6 SELL T14 S14 $91 #48
6 BUY T9 S14 $18 #5
6 SELL T14 S7 $15 #6
6 SELL T0 S12 $22 #24
6 SELL T18 S1 $49 #5
6 BUY T3 S23 $82 #32
6 BUY T16 S23 $67 #11
6 BUY T8 S21 $49 #3
6 SELL T0 S19 $93 #41
6 BUY T7 S16 $92 #30
6 SELL T11 S9 $70 #43
6 SELL T9 S0 $7 #14
6 SELL T12 S12 $43 #6
6 BUY T0 S9 $96 #27
6 SELL T6 S5 $95 #46
6 BUY T11 S10 $74 #46
6 SELL T13 S9 $79 #6
6 BUY T14 S10 $8 #49
6 SELL T7 S12 $14 #31
6 BUY T14 S15 $61 #9
6 SELL T18 S21 $27 #32
6 BUY T7 S13 $46 #33
6 BUY T9 S23 $54 #1
6 BUY T17 S10 $30 #42
6 SELL T13 S9 $90 #12
6 BUY T16 S16 $38 #30
6 SELL T15 S1 $23 #3
7 BUY T12 S4 $7 #29
7 BUY T6 S17 $82 #26
7 SELL T3 S6 $25 #16
7 BUY T12 S8 $66 #25
7 BUY T8 S13 $97 #8
7 SELL T19 S16 $98 #50
7 BUY T15 S4 $38 #23
7 BUY T18 S21 $44 #10
7 SELL T17 S21 $44 #40
7 SELL T4 S18 $71 #7
7 BUY T10 S8 $66 #38
7 BUY T11 S17 $56 #35
7 BUY T11 S24 $50 #22
7 SELL T0 S8 $24 #42
7 BUY T14 S24 $37 #14
7 SELL T2 S22 $70 #32
7 SELL T12 S5 $14 #44
7 SELL T3 S0 $91 #39
7 BUY T15 S11 $84 #23
7 BUY T15 S5 $2 #28
7 BUY T4 S8 $63 #38
7 BUY T11 S10 $64 #26
7 SELL T9 S20 $93 #26
7 BUY T15 S0 $25 #25
7 SELL T16 S19 $66 #31
7 BUY T4 S21 $39 #45
7 SELL T9 S14 $73 #8
7 SELL T2 S2 $67 #40
7 BUY T0 S6 $10 #47
7 BUY T7 S18 $67 #32
7 SELL T0 S12 $19 #28
7 BUY T5 S23 $96 #34
7 BUY T16 S11 $24 #40
7 SELL T5 S17 $45 #26
7 BUY T5 S24 $56 #8
7 SELL T18 S8 $22 #23
7 SELL T0 S6 $82 #33
7 BUY T18 S8 $56 #38
7 SELL T6 S6 $72 #16
7 SELL T1 S23 $87 #4
7 BUY T2 S13 $45 #32
7 SELL T9 S17 $6 #44
7 BUY T1 S11 $20 #38
7 SELL T9 S9 $46 #35
7 SELL T3 S0 $3 #3
7 BUY T9 S13 $89 #20
7 SELL T16 S19 $26 #38
7 SELL T13 S18 $98 #8
7 BUY T4 S2 $65 #19
7 BUY T9 S21 $64 #14
7 BUY T15 S4 $65 #24
7 BUY T15 S22 $27 #42
7 BUY T19 S17 $46 #49
7 BUY T17 S1 $49 #35
7 SELL T3 S18 $87 #8
7 SELL T7 S20 $39 #10
7 SELL T17 S3 $64 #48
7 BUY T12 S18 $16 #21
7 SELL T1 S0 $18 #6
7 BUY T15 S16 $1 #33
7 SELL T6 S10 $83 #10
7 BUY T19 S23 $100 #12
7 BUY T17 S15 $24 #25
7 SELL T4 S4 $65 #24
7 BUY T18 S11 $29 #44
7 BUY T11 S7 $97 #1
7 BUY T18 S4 $78 #6
7 SELL T3 S13 $26 #27
7 SELL T1 S19 $33 #5
7 SELL T11 S1 $44 #20
7 SELL T4 S10 $2 #27
7 BUY T12 S9 $6 #24
7 SELL T13 S21 $67 #36
7 BUY T6 S10 $72 #32
7 SELL T16 S24 $31 #43
7 BUY T4 S14 $8 #20
7 BUY T18 S0 $94 #47
7 BUY T1 S24 $62 #40
7 BUY T10 S23 $13 #26
7 BUY T9 S4 $88 #18
7 SELL T13 S14 $65 #46
7 SELL T2 S0 $15 #14
7 SELL T15 S10 $73 #21
7 BUY T11 S22 $46 #3
7 BUY T19 S0 $10 #14
7 SELL T16 S3 $86 #22
7 SELL T15 S4 $61 #44
7 BUY T16 S20 $60 #2
7 BUY T5 S18 $51 #34
7 SELL T15 S20 $26 #6
7 BUY T1 S18 $10 #4
7 BUY T3 S9 $60 #46
7 SELL T2 S7 $6 #31
7 SELL T9 S12 $90 #15
7 SELL T15 S17 $61 #5
7 BUY T13 S1 $20 #37
7 BUY T11 S6 $52 #26
7 BUY T2 S9 $54 #10
7 BUY T7 S6 $55 #17
7 SELL T9 S9 $49 #7
7 SELL T9 S22 $93 #22
7 SELL T18 S12 $79 #49
7 SELL T17 S20 $66 #21
7 BUY T2 S7 $6 #10
7 BUY T11 S19 $21 #1
7 BUY T8 S18 $4 #1
7 BUY T6 S22 $83 #42
7 BUY T17 S16 $25 #7
7 SELL T16 S3 $13 #42
7 SELL T10 S16 $82 #40
7 BUY T6 S1 $27 #42
7 BUY T7 S10 $86 #16
7 SELL T18 S8 $52 #11
7 SELL T8 S16 $69 #8
7 BUY T6 S10 $76 #31
7 SELL T4 S18 $25 #22
7 SELL T11 S23 $50 #47
7 BUY T7 S13 $87 #35
7 BUY T4 S7 $37 #33
7 BUY T14 S15 $78 #5
7 BUY T9 S17 $35 #1
7 BUY T6 S17 $21 #47
8 BUY T19 S22 $98 #24
8 BUY T16 S21 $9 #10
8 SELL T9 S6 $10 #33
8 BUY T12 S22 $88 #4
8 SELL T17 S18 $2 #25
8 SELL T11 S2 $11 #41
8 BUY T4 S18 $4 #30
8 BUY T1 S19 $51 #22
8 BUY T14 S8 $95 #17
8 BUY T17 S7 $55 #7
8 BUY T10 S19 $1 #18
8 BUY T15 S5 $44 #43
8 SELL T19 S20 $99 #41
8 SELL T12 S12 $57 #46
8 SELL T15 S5 $26 #23
8 BUY T17 S24 $68 #37
8 BUY T3 S15 $17 #20
8 SELL T3 S0 $68 #21
8 SELL T0 S3 $45 #47
8 BUY T3 S13 $7 #23
8 SELL T6 S15 $14 #47
8 BUY T6 S15 $57 #9
8 SELL T14 S16 $38 #30
8 SELL T7 S14 $14 #32
8 SELL T12 S18 $57 #9
8 BUY T4 S6 $71 #8
8 SELL T3 S10 $13 #16
8 SELL T12 S21 $43 #11
8 BUY T1 S21 $73 #22
8 SELL T9 S7 $97 #17
8 BUY T14 S24 $19 #26
8 BUY T3 S24 $2 #28
8 SELL T12 S1 $67 #13
8 BUY T4 S20 $38 #28
8 SELL T14 S16 $65 #9
8 SELL T12 S0 $93 #16
8 SELL T1 S11 $19 #38
8 BUY T18 S8 $89 #38
8 BUY T5 S2 $53 #18
8 BUY T11 S18 $93 #36
8 SELL T2 S2 $89 #31
8 BUY T17 S6 $80 #23
8 BUY T14 S18 $75 #26
8 BUY T14 S8 $76 #13
8 SELL T8 S10 $21 #18
8 BUY T5 S17 $43 #40
8 SELL T10 S5 $9 #31
8 BUY T9 S6 $89 #35
8 SELL T2 S5 $11 #11
8 BUY T6 S5 $6 #8
8 SELL T19 S21 $96 #33
8 BUY T4 S5 $68 #25
8 SELL T4 S13 $23 #43
8 SELL T13 S18 $25 #34
8 SELL T10 S2 $92 #50
8 SELL T3 S11 $44 #4
8 BUY T16 S3 $36 #4
8 SELL T8 S4 $9 #49
8 BUY T15 S21 $51 #13
8 BUY T2 S10 $2 #49
8 BUY T5 S11 $70 #29
8 BUY T14 S0 $64 #23
8 SELL T19 S6 $62 #7
8 SELL T12 S24 $64 #36
8 SELL T1 S14 $20 #5
8 SELL T16 S5 $79 #22
8 SELL T1 S11 $77 #16
8 SELL T4 S7 $20 #9
8 SELL T15 S7 $40 #46
8 BUY T12 S22 $22 #3
8 SELL T4 S9 $45 #22
8 SELL T19 S12 $86 #15
8 BUY T13 S16 $94 #37
8 SELL T7 S8 $41 #42
8 BUY T15 S20 $48 #4
8 BUY T0 S15 $63 #15
8 SELL T7 S4 $20 #1
8 BUY T1 S3 $39 #32
8 BUY T14 S23 $40 #6
8 BUY T6 S18 $84 #50
8 SELL T3 S3 $7 #18
8 BUY T7 S4 $93 #49
8 SELL T13 S15 $8 #43
8 BUY T2 S21 $88 #1
8 SELL T12 S19 $53 #34
8 SELL T19 S3 $48 #24
8 BUY T11 S24 $83 #16
8 SELL T17 S0 $56 #43
8 SELL T19 S12 $21 #24
8 BUY T1 S19 $34 #14
8 SELL T15 S4 $57 #29
8 BUY T0 S2 $53 #36
8 SELL T3 S13 $34 #38
8 BUY T12 S20 $85 #24
8 BUY T10 S0 $53 #50
8 BUY T7 S17 $46 #6
8 BUY T1 S1 $12 #34
8 BUY T12 S8 $70 #50
8 BUY T16 S10 $56 #8
8 SELL T11 S4 $47 #17
8 SELL T12 S9 $37 #23
8 SELL T14 S1 $64 #49
8 SELL T10 S20 $18 #6
8 SELL T19 S24 $94 #15
8 SELL T10 S2 $66 #38
8 BUY T6 S17 $48 #18
8 BUY T18 S2 $94 #9
8 SELL T11 S1 $62 #19
8 BUY T0 S17 $30 #12
8 SELL T18 S0 $100 #20
8 BUY T5 S2 $60 #50
8 SELL T11 S14 $54 #39
8 BUY T4 S21 $86 #28
8 SELL T6 S17 $94 #37
8 BUY T0 S11 $67 #8
8 BUY T9 S4 $90 #22
8 SELL T1 S12 $41 #49
8 BUY T8 S7 $26 #7
8 SELL T12 S8 $73 #25
8 SELL T14 S10 $54 #5
8 SELL T5 S17 $39 #26
9 SELL T11 S2 $52 #2
9 SELL T15 S21 $64 #39
9 BUY T13 S13 $50 #1
9 BUY T4 S21 $9 #47
9 SELL T15 S3 $21 #38
9 BUY T9 S23 $28 #19
9 SELL T3 S1 $15 #7
9 BUY T0 S1 $33 #44
9 SELL T8 S7 $76 #49
9 BUY T0 S23 $36 #30
9 BUY T18 S17 $66 #15
9 BUY T19 S11 $81 #7
9 SELL T1 S17 $99 #25
9 BUY T2 S0 $86 #1
9 BUY T6 S13 $51 #49
9 BUY T12 S0 $85 #5
9 BUY T3 S24 $24 #8
9 BUY T3 S0 $66 #23
9 BUY T2 S12 $6 #46
9 BUY T0 S13 $94 #25
9 BUY T1 S13 $76 #39
9 SELL T16 S13 $34 #11
9 BUY T16 S22 $39 #25
9 SELL T16 S5 $2 #8
9 SELL T16 S15 $39 #39
9 SELL T0 S18 $52 #17
9 BUY T4 S23 $18 #17
9 BUY T0 S8 $43 #34
9 SELL T11 S12 $57 #19
9 SELL T18 S20 $24 #11
9 BUY T5 S0 $66 #14
9 BUY T3 S9 $74 #18
9 BUY T4 S7 $47 #9
9 BUY T6 S15 $71 #41
9 BUY T16 S20 $38 #15
9 SELL T13 S20 $7 #8
9 BUY T17 S15 $64 #2
9 SELL T6 S4 $41 #41
9 SELL T7 S10 $73 #15
9 BUY T12 S2 $25 #10
9 BUY T18 S11 $77 #23
9 SELL T9 S13 $85 #16
9 SELL T9 S15 $44 #42
9 BUY T2 S22 $34 #6
9 SELL T10 S5 $21 #25
9 BUY T16 S3 $59 #11
9 BUY T17 S9 $92 #11
9 BUY T17 S23 $5 #17
9 SELL T14 S17 $73 #49
9 SELL T0 S17 $80 #17
9 SELL T12 S13 $33 #24
9 BUY T16 S10 $32 #37
9 BUY T14 S9 $19 #33
9 BUY T19 S1 $57 #39
9 BUY T7 S1 $13 #15
9 SELL T13 S7 $36 #10
9 SELL T10 S6 $73 #5
9 BUY T16 S22 $62 #18
9 BUY T5 S12 $68 #50
9 SELL T11 S23 $1 #19
9 SELL T8 S12 $100 #31
9 BUY T14 S22 $57 #28
9 SELL T12 S14 $86 #44
9 SELL T15 S4 $38 #26
9 BUY T2 S19 $68 #39
9 BUY T3 S23 $98 #30
9 SELL T7 S6 $61 #45
9 SELL T11 S13 $29 #13
9 SELL T5 S21 $35 #19
9 BUY T3 S5 $54 #22
9 BUY T14 S22 $71 #37
9 BUY T17 S3 $78 #4
9 SELL T17 S9 $28 #40
9 SELL T15 S22 $41 #10
9 BUY T2 S1 $96 #33
9 SELL T3 S7 $32 #25
9 SELL T4 S8 $24 #2
9 BUY T0 S14 $76 #6
9 SELL T18 S15 $70 #34
9 SELL T11 S15 $18 #39
9 SELL T12 S14 $40 #24
9 SELL T4 S14 $8 #35
9 BUY T16 S16 $31 #10
9 SELL T1 S23 $76 #41
9 BUY T1 S15 $28 #35
9 SELL T16 S9 $99 #45
9 SELL T8 S7 $59 #44
9 SELL T8 S6 $5 #49
9 SELL T11 S4 $45 #29
9 BUY T16 S19 $90 #21
9 SELL T0 S1 $20 #48
9 SELL T11 S8 $54 #7
9 BUY T18 S1 $10 #28
9 BUY T6 S4 $66 #4
9 SELL T15 S2 $64 #48
9 BUY T12 S20 $30 #35
9 BUY T8 S6 $88 #26
10 BUY T18 S20 $52 #42
10 BUY T14 S12 $12 #27
10 SELL T15 S7 $86 #41
10 BUY T15 S16 $78 #42
10 SELL T1 S16 $99 #4
10 SELL T13 S19 $17 #31
10 BUY T8 S11 $35 #22
10 BUY T14 S8 $36 #41
10 SELL T15 S21 $57 #26
10 BUY T19 S23 $2 #39
10 SELL T10 S16 $55 #5
10 SELL T5 S12 $20 #38
10 BUY T8 S20 $77 #48
10 SELL T4 S6 $13 #14
10 BUY T15 S0 $36 #9
10 SELL T3 S1 $70 #6
10 BUY T14 S18 $79 #34
10 SELL T12 S0 $13 #27
10 SELL T17 S0 $36 #32
10 SELL T11 S2 $77 #17
10 SELL T0 S17 $50 #8
10 BUY T15 S21 $47 #49
10 SELL T14 S21 $36 #37
10 SELL T4 S5 $10 #45
10 SELL T4 S12 $4 #5
10 SELL T10 S19 $96 #9
10 BUY T13 S1 $75 #36
10 BUY T12 S22 $60 #18
10 SELL T11 S20 $97 #21
10 SELL T6 S24 $59 #30
10 BUY T3 S10 $76 #23
10 BUY T17 S9 $84 #31
10 BUY T15 S9 $55 #20
10 SELL T8 S22 $39 #35
10 SELL T6 S4 $56 #26
10 BUY T12 S23 $54 #19
10 SELL T5 S5 $20 #27
10 SELL T0 S8 $94 #29
10 SELL T12 S2 $20 #49
10 SELL T16 S13 $68 #46
10 BUY T6 S21 $64 #43
